name,time_ns,compiler,cluster,source_file,kernel
s115_run_timed,213471,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s115
s115_run_timed,207931,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s115
dace_s115_cpy,828000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s115
dace_s115_cpy,841000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s115
dace_s115_cpy,574000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s115
dace_s115_cpy,571000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s115
dace_s115_cpy,568000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s115
dace_s115_cpy,566000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s115
dace_s115_cpy,577000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s115
dace_s115_cpy,559000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s115
dace_s115_cpy,577000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s115
dace_s115_cpy,560000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s115
dace_s115_cpy,567000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s115
s1115_run_timed,21442632,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1115
s1115_run_timed,21482622,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1115
s1115_run_timed,21133409,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1115
s1115_run_timed,21112999,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1115
s1115_run_timed,21362710,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1115
s1115_run_timed,21343900,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1115
s1115_run_timed,21136869,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1115
s1115_run_timed,21182840,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1115
s1115_run_timed,21112879,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1115
s1115_run_timed,21078189,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1115
s1115_run_timed,21588472,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1115
dace_s1115_cpy,13121000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1115
dace_s1115_cpy,13073000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1115
dace_s1115_cpy,13198000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1115
dace_s1115_cpy,13085000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1115
dace_s1115_cpy,13074000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1115
dace_s1115_cpy,13164000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1115
dace_s1115_cpy,13160000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1115
dace_s1115_cpy,13052000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1115
dace_s1115_cpy,13100000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1115
dace_s1115_cpy,13089000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1115
dace_s1115_cpy,13076000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1115
s116_run_timed,385165677,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s116
s116_run_timed,371753889,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s116
s116_run_timed,356619469,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s116
s116_run_timed,357151793,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s116
s116_run_timed,356672419,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s116
s116_run_timed,356999352,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s116
