,compiler,cluster,source_file_cpp,name_cpp,median_ns_cpp,mean_ns_cpp,variance_ns_cpp,impl_cpp,kernel,median_cpp_ns_cpp,source_file_dace,name_dace,median_ns_dace,mean_ns_dace,variance_ns_dace,impl_dace,median_cpp_ns_dace
88,gcc,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s122,29331845.0,29579300.0,611742172676.8002,cpp,s122,29331845.0,runtimes_v8f_intrinsic_neon.csv,dace_s122,29455000.0,29548636.363636363,124175654545.45471,dace,29365594.0
89,graceclang,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s122,29516827.0,29603084.545454547,136508301360.47221,cpp,s122,29516827.0,runtimes_v8f_intrinsic_sve.csv,dace_s122,29650000.0,29761272.727272727,120848018181.81828,dace,29839505.0
90,llvm,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s122,29598316.0,29610597.454545453,76904199694.07253,cpp,s122,29598316.0,runtimes_v8f_intrinsic_sve.csv,dace_s122,29627000.0,29729454.545454547,166962072727.27243,dace,29643312.0
91,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s331,30078781.0,30083639.636363637,851707334.4545441,cpp,s331,30078781.0,runtimes_v7f_default.csv,dace_s331,50828000.0,50820000.0,51963333333.333885,dace,30172614.0
92,gcc,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s1232,30261758.0,30364418.09090909,71720323048.89093,cpp,s1232,30261758.0,runtimes_v8f_.csv,dace_s1232,30722500.0,30802400.0,51422266666.66647,dace,34889708.0
93,llvm,arm,runtimes_v8f_.csv,cpp_s1232,30608071.0,30682849.454545453,54006044775.07302,cpp,s1232,30608071.0,runtimes_v8f_.csv,dace_s1232,29165000.0,29268818.181818184,67669763636.363625,dace,30608071.0
94,llvm,amd_epyc,runtimes_v7f_default.csv,cpp_s331,30932960.0,30910516.818181816,13103863627.563564,cpp,s331,30932960.0,runtimes_v7f_default.csv,dace_s331,26175000.0,26261500.0,33849833333.333393,dace,30932960.0
95,intel,amd_epyc,runtimes_v7f_default.csv,cpp_s122,31395709.0,31436784.90909091,21235609005.090923,cpp,s122,31395709.0,runtimes_v7f_default.csv,dace_s122,35298000.0,35433272.72727273,66397018181.81836,dace,31395709.0
96,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s272,32760563.0,32847434.363636363,28202754899.454674,cpp,s272,32760563.0,runtimes_v7f_force_width_256.csv,dace_s272,45007500.0,44974500.0,54325166666.66659,dace,32760563.0
97,llvm,amd_epyc,runtimes_v7f_default.csv,cpp_s122,33555893.0,33598161.72727273,5302419448.818263,cpp,s122,33555893.0,runtimes_v7f_default.csv,dace_s122,35717000.0,35582636.36363637,85130254545.45465,dace,33555893.0
98,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s122,33652848.0,33662782.72727273,4472658799.618173,cpp,s122,33652848.0,runtimes_v7f_force_width_256.csv,dace_s122,36363000.0,36406000.0,12002599999.999912,dace,33652848.0
99,graceclang,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s255,33974762.0,34408883.0,2017059689691.5989,cpp,s255,33974762.0,runtimes_v8f_intrinsic_sve.csv,dace_s255,34248000.0,34385727.27272727,176979618181.8182,dace,34370523.0
100,gcc,arm,runtimes_v8f_.csv,cpp_s1221,34086072.0,34105716.45454545,52964185851.27073,cpp,s1221,34086072.0,runtimes_v8f_intrinsic_sve.csv,dace_s1221,43591500.0,43711500.0,89599833333.33339,dace,34194655.0
101,llvm,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s255,34206818.0,34964675.54545455,2909435167249.2744,cpp,s255,34206818.0,runtimes_v8f_intrinsic_sve.csv,dace_s255,34480000.0,34492727.27272727,9881818181.818117,dace,34441963.0
102,llvm,arm,runtimes_v8f_.csv,cpp_s256,34311268.0,34736823.36363637,1322770006140.2546,cpp,s256,34311268.0,runtimes_v8f_.csv,dace_s256,34724000.0,35101727.27272727,1148427218181.817,dace,34311268.0
103,intel,intel_xeon,runtimes_v7f_force_width_512.csv,cpp_s13110,37354331.0,37739737.0,588453241267.1996,cpp,s13110,37354331.0,runtimes_v7f_force_width_512.csv,dace_s13110,38164000.0,38659636.36363637,1771903054545.4539,dace,37354331.0
104,gcc,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s256,37419457.0,37853044.0,1765593437352.4011,cpp,s256,37419457.0,runtimes_v8f_.csv,dace_s256,34545000.0,34837454.54545455,993777272727.2734,dace,37898013.0
105,graceclang,arm,runtimes_v8f_no_vectorize.csv,cpp_s272,38701469.0,38954922.09090909,503537048965.89044,cpp,s272,38701469.0,runtimes_v8f_no_vectorize.csv,dace_s272,33682500.0,33865000.0,194535999999.99994,dace,38701469.0
106,llvm,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s272,38939598.0,39625096.90909091,1551849620513.089,cpp,s272,38939598.0,runtimes_v8f_intrinsic_neon.csv,dace_s272,33927500.0,33927500.0,5739611111.111134,dace,39087115.0
107,intel,intel_xeon,runtimes_v7f_force_width_512.csv,cpp_s3110,39206346.0,39668143.81818182,5351972035737.364,cpp,s3110,39206346.0,runtimes_v7f_force_width_512.csv,dace_s3110,37945000.0,38242909.09090909,3154105290909.0913,dace,39206346.0
108,gcc,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s255,39863860.0,40390943.90909091,3316508017889.6953,cpp,s255,39863860.0,runtimes_v8f_intrinsic_neon.csv,dace_s255,39768000.0,39996636.36363637,223223854545.45468,dace,39863860.0
109,gcc,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s292,41361135.0,41465570.09090909,46748022980.490875,cpp,s292,41361135.0,runtimes_v8f_.csv,dace_s292,34401000.0,35283300.0,3900784899999.999,dace,41449306.0
110,gcc,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s3112,41419141.0,41429668.63636363,6379034932.454592,cpp,s3112,41419141.0,runtimes_v8f_intrinsic_neon.csv,dace_s3112,41408000.0,41466545.45454545,27875072727.272804,dace,41473559.0
