,compiler,cluster,source_file,name,median_ns,mean_ns,variance_ns,impl,kernel
120,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1221,62410500.0,62418200.0,45928622222.22222,dace,s1221
121,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s123,207085000.0,206992090.9090909,305547290909.09265,dace,s123
122,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1232,119712000.0,119573272.72727273,176765418181.81866,dace,s1232
123,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s124,382684000.0,382342000.0,610755000000.0021,dace,s124
124,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s125,2581000.0,2586909.090909091,1013090909.0909096,dace,s125
125,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1251,403960500.0,404165400.0,400062044444.44507,dace,s1251
126,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s126,216537000.0,216562454.54545453,488118672727.2772,dace,s126
127,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s127,120152000.0,120202400.0,48071822222.2223,dace,s127
128,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s128,116263000.0,116341300.0,78404455555.5558,dace,s128
129,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s13110,84820000.0,84910181.81818181,223141763636.36514,dace,s13110
130,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s132,32000.0,33636.36363636364,6254545.454545451,dace,s132
131,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1351,489895000.0,490001181.8181818,392833763636.3653,dace,s1351
132,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1421,353989500.0,354254400.0,652105599999.9885,dace,s1421
133,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s151,249572000.0,249704100.0,887830766666.6699,dace,s151
134,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s152,126511000.0,126435636.36363636,35299054545.45451,dace,s152
135,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s161,417765000.0,417816090.90909094,376345090909.09247,dace,s161
136,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s162,308207500.0,308317500.0,1955799166666.6658,dace,s162
137,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s171,50467000.0,50472090.90909091,29510690909.091194,dace,s171
138,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s172,51753000.0,51823545.45454545,197864672727.2729,dace,s172
139,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s173,440911500.0,441029600.0,617563600000.0054,dace,s173
140,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s174,43420776500.0,43426609400.0,1219339705155596.0,dace,s174
141,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s175,50931000.0,51138900.0,231617655555.55505,dace,s175
142,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s211,101519000.0,101492100.0,238830988888.8887,dace,s211
143,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s212,91825500.0,91958600.0,748396488888.8906,dace,s212
144,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s221,85613000.0,85540181.81818181,132504563636.36153,dace,s221
145,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s222,63251000.0,63274727.27272727,24716818181.818123,dace,s222
146,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s2233,420320500.0,419215100.0,7788762322222.259,dace,s2233
147,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s2244,61304000.0,61399000.0,52019199999.99987,dace,s2244
148,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s2251,113103500.0,113095500.0,62670055555.555695,dace,s2251
149,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s231,5639322000.0,5642220100.0,49837430766666.75,dace,s231
150,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s233,622711000.0,622828363.6363636,548673254545.44806,dace,s233
151,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s235,10508586000.0,10517532090.90909,5098224420690897.0,dace,s235
152,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s241,159603500.0,185845700.0,2368225862011110.5,dace,s241
153,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s242,0.0,90.9090909090909,90909.09090909091,dace,s242
154,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s243,101507000.0,101846200.0,1158816399999.9956,dace,s243
155,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s244,94984000.0,95242181.81818181,1020927763636.363,dace,s244
